ind,GEO,LON,LAT,Source,Cluster1,Cluster2,Cluster3,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,filt_Cluster1,filt_Cluster2,filt_PC1,filt_PC2,filt_PC3,filt_PC4,filt_PC5,filt_PC6,filt_PC7,filt_PC8,filt_PC9,filt_PC10,filt_PC11,filt_PC12,filt_PC13,filt_PC14,filt_PC15,filt_PC16,filt_PC17,filt_PC18,filt_PC19,filt_PC20,wc2.1_2.5m_bio_1,wc2.1_2.5m_bio_12
050_4,Virginia,-80.11743,37.02032,Wild,0.606798,0.393196,6e-6,0.0384634,-0.0780642,-0.020251,-0.151564,-0.0109008,-0.0408268,0.00236421,0.03251,0.044523,-0.00706196,0.0648294,0.0149033,0.0834045,0.0256589,-0.428407,0.404048,-0.161389,-0.0373789,-0.00515068,0.126862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.66450023651123,1134
096_4,Connecticut,-71.97076,41.71432,Wild,5e-6,0.999989,5e-6,-0.0323916,0.0146109,-0.0103033,0.0250152,-0.00312438,0.00245225,4.22371e-4,0.00472887,-0.0313618,0.00290812,-0.0189179,0.0233489,0.00992118,4.21263e-4,-0.0229728,-0.0340153,0.00940732,0.0354933,0.00481455,0.0380052,0.999917,8.3e-5,0.0521636,-0.00664175,0.0738432,-0.0491063,-0.00102195,0.0137006,0.0629805,-8.36162e-4,0.11107,-0.145415,0.0326005,0.147686,-0.00541561,-0.096511,-0.053334,0.0100614,-0.0390354,-0.058235,-0.0167384,0.0047109,9.12066650390625,1247
096_3,Connecticut,-71.97076,41.71432,Wild,5e-6,0.999989,5e-6,-0.0316389,0.015255,-0.0125475,0.0256331,-0.00351151,0.00151159,1.97744e-6,0.00733377,-0.0445639,0.00578702,-0.0250871,0.0347266,0.0106254,0.0047696,-0.0221741,-0.0427968,0.0112089,0.0358158,0.0115593,0.0496464,0.999984,1.6e-5,0.0716064,-0.00354731,0.0904446,-0.0554719,0.00745277,0.0258294,0.0867044,0.0157238,0.156308,-0.192762,0.0438044,0.165426,-0.0148753,-0.133754,-0.069443,0.0191185,-0.0582393,-0.0449347,-0.00723747,0.00906318,9.12066650390625,1247
050_6,Virginia,-80.11743,37.02032,Wild,0.212854,0.78714,6e-6,-0.0041279,-0.0233064,-0.0160578,-0.0462628,-0.0189751,-0.013025,-0.00305813,-0.00824458,0.0368146,0.00554186,0.0038623,-0.00982335,0.0532272,0.0157981,-0.199181,0.162531,-0.0793595,-0.0325878,0.0277209,0.0468476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.66450023651123,1134
096_2,Connecticut,-71.97076,41.71432,Wild,5e-6,0.999989,5e-6,-0.031486,0.0121736,-0.00984773,0.022145,0.00131875,0.00203413,-3.45154e-4,0.00759628,-0.0322182,-2.71281e-4,-0.0192509,0.0286161,0.00593812,-0.00204285,-0.0173409,-0.0320922,0.00561086,0.0260156,0.00630165,0.0387801,0.999855,1.45e-4,0.0505519,-0.0062239,0.0700641,-0.0427668,0.00651451,0.01159,0.0636327,0.00551189,0.0914935,-0.091421,0.0340127,0.0549943,0.00354951,-0.0685434,-0.02794,-0.0166471,-0.00341755,-0.00503554,-0.00269553,-0.0229304,9.12066650390625,1247
588128,Unknown,NA,NA,Conserved,6e-6,0.439032,0.560962,0.0576095,-0.0230741,0.257371,0.0185055,-0.330635,0.0995735,-0.0432996,0.0331016,-0.0256469,-0.0185834,-0.0162709,0.0326689,0.00149761,-0.00168586,-0.0186431,0.00373774,-4.56144e-4,-0.00901416,-0.0333136,0.0375891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
052_1,Virginia,-80.11744,37.02033,Wild,0.279908,0.720086,6e-6,0.00345384,-0.0322185,-0.01722,-0.0625939,-0.0178523,-0.0146584,-0.00622686,-0.027126,0.13932,-0.0590694,0.0368221,-0.145689,-0.0553139,-0.0106856,-0.0110196,-0.0722618,0.00605047,-0.0188677,-0.0922308,0.170708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.66450023651123,1134
087_6,Connecticut,-72.21359,41.43505,Wild,5e-6,0.999989,5e-6,-0.030737,0.0142268,-0.0106624,0.0222377,-0.00213813,7.45477e-4,0.00255953,0.00203729,-0.0186561,-0.00561675,-6.93927e-4,0.0132496,0.00544074,0.00229915,-0.0122307,-0.0144826,4.94949e-4,0.0254824,0.00320368,0.00570692,0.999742,2.58e-4,0.0244784,-0.00774937,0.0356475,-0.0200753,-0.0150339,-0.0031588,0.0598604,0.0233715,-0.00677236,-0.0244564,-0.0212935,0.00569645,-0.0768081,0.00613545,0.0278941,1.28652e-4,0.00180083,0.0990434,0.061218,-0.0887066,9.686333656311035,1260
087_5,Connecticut,-72.21359,41.43505,Wild,5e-6,0.999989,5e-6,-0.0311247,0.0130221,-0.0110604,0.0195312,-0.00115569,0.00108531,1.4568e-4,0.00256193,-0.0155307,-0.00221534,-2.68489e-4,0.0134096,0.00807024,0.00458201,-0.00824754,-0.0136481,5.89143e-4,0.027386,0.00852996,0.0089678,0.934446,0.065554,0.0202995,-0.00320865,0.0340697,-0.0233944,-0.0117219,-0.0152857,0.0454983,0.0272883,-0.00388913,-0.0180874,-0.0141069,0.00271288,-0.0613681,0.00901897,0.024291,-0.0102948,-0.00133207,0.0861577,0.0463988,-0.0767851,9.686333656311035,1260
087_2,Connecticut,-72.21359,41.43505,Wild,5e-6,0.999989,5e-6,-0.0307769,0.0124551,-0.0103184,0.0208172,6.87489e-4,6.28809e-4,-0.00237891,-7.77807e-4,-0.0122872,-0.00223912,-0.00756986,0.0200203,0.0110249,0.00187044,-0.00870455,-0.0108502,0.00421955,0.0233755,0.00436044,0.0036422,0.827553,0.172447,0.0229464,0.0011939,0.0314467,-0.0209285,-0.0142369,-0.00445615,0.0404832,0.00864481,-0.0197641,0.0215673,0.00234897,-0.001853,-0.0403194,0.0183344,-0.00617006,0.0264764,0.0121715,0.0229046,0.0103425,-0.0153482,9.686333656311035,1260
087_3,Connecticut,-72.21359,41.43505,Wild,0.06756,0.932433,6e-6,-0.0185253,-0.00174362,-0.0150752,0.00102478,-0.0107719,-0.00895444,0.00353584,0.00750136,-0.0129177,-0.0103493,0.0114981,0.0234682,0.00522201,0.0121354,-0.0256759,-0.0238255,0.005381,0.0488818,0.01085,0.0304484,0.856691,0.143309,0.0164459,-0.0197947,0.0423207,-0.0249247,-0.0106174,0.00367411,0.0414824,0.0383759,-0.0064936,-0.0233663,-0.0239863,-0.0637665,-0.117066,-0.00713415,0.068458,-0.0206113,-0.0318014,0.0843791,0.0672588,-0.107624,9.686333656311035,1260
